問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解番号(0-3),カテゴリー,難易度(1-5)
地質時代で人類が誕生したとされるのはいつ頃か,約700万年前,約20万年前,約1万年前,約40億年前,0,歴史,1
ホモ・サピエンス（新人）が出現した時期として正しいものはどれか,約700万年前,約100万年前,約20万年前,約1万年前,2,歴史,2
日本列島で発見されている更新世の化石人骨はどの段階のものか,猿人,原人,旧人,新人,3,歴史,3
縄文時代に東日本を中心に広がったブナやナラなどの森林を何というか,針葉樹林,照葉樹林,落葉広葉樹林,亜熱帯林,2,歴史,2
縄文時代、植物性食物を煮るために発明された道具は何か,打製石器,磨製石器,土器,石包丁,2,歴史,1
『漢書』地理志に記された、紀元前1世紀頃の倭人の状況はどれか,女王が統治していた,100余国に分かれていた,30国が通交していた,金印を授かっていた,1,歴史,2
57年に後漢の光武帝から金印を授かったのはどこの国の王か,邪馬台国,奴国,狗奴国,伊都国,1,歴史,2
3世紀、卑弥呼が中国の魏に使いを送った際、皇帝から与えられた称号は何か,倭国王,日本国王,親魏倭王,安東大将軍,2,歴史,2
古墳時代の前期に多く見られる、日本特有の墳形はどれか,円墳,方墳,前方後円墳,前方後方墳,2,歴史,1
5世紀の倭の五王のうち、「武」に比定される天皇は誰か,応神天皇,仁徳天皇,雄略天皇,継体天皇,2,歴史,3
604年に制定され、役人の心得を説いたものはどれか,冠位十二階,十七条憲法,大宝律令,養老律令,1,歴史,2
607年に遣隋使として派遣され、中国に渡った人物は誰か,小野妹子,犬上御田鍬,阿倍仲麻呂,最澄,0,歴史,2
蘇我入鹿を暗殺し、大化の改新を開始した人物は誰か,聖徳太子,中大兄皇子,天武天皇,藤原不比等,1,歴史,2
天智天皇が作成した、日本最古の全国的な戸籍は何か,庚午年籍,庚寅年籍,計帳,正倉院戸籍,0,歴史,3
壬申の乱に勝利し、飛鳥浄御原宮で即位した天皇は誰か,天智天皇,天武天皇,持統天皇,元明天皇,1,歴史,2
701年に完成した、日本初の本格的な律令は何か,近江令,飛鳥浄御原令,大宝律令,養老律令,2,歴史,2
奈良時代の平城京において、官営の市場を管理した役所はどれか,左京職,市司,大宰府,摂津職,1,歴史,3
聖武天皇が国分寺建立の詔を出した背景にある思想は何か,神仏習合,鎮護国家,末法思想,本地垂迹,1,歴史,2
752年に行われた東大寺大仏開眼供養の導師を務めたインド僧は誰か,鑑真,菩提僊那,玄奘,道璿,1,歴史,4
『万葉集』の編纂に関わったとされる、代表的な歌人は誰か,紀貫之,大伴家持,山上憶良,稗田阿礼,1,歴史,3
平安遷都を断行し、新しい政治を目指した天皇は誰か,光仁天皇,桓武天皇,嵯峨天皇,清和天皇,1,歴史,2
嵯峨天皇の時代に、薬子の変をきっかけに設置された秘書官長は何か,検非違使,蔵人頭,勘解由使,阿弥陀,1,歴史,3
平安時代初期、最澄が比叡山を拠点に開いた宗派は何か,真言宗,天台宗,浄土宗,禅宗,1,歴史,2
空海が中国から持ち帰り、高野山で広めた教えは何と呼ばれるか,顕教,密教,道教,儒教,1,歴史,2
藤原良房が臣下として初めて就任した役職は何か,関白,摂政,太政大臣,執権,1,歴史,3
醍醐天皇が902年に出した、荘園の整理を目的とした法令は何か,墾田永年私財法,三世一身法,延喜の荘園整理令,地租改正,2,歴史,3
10世紀前半に東国で反乱を起こし、「新皇」を自称した人物は誰か,平清盛,平将門,藤原純友,平忠常,1,歴史,2
白河天皇が退位した後に始めた、上皇が実権を握る政治形態は何か,摂関政治,院政,親政,幕政,1,歴史,2
平氏政権を確立し、太政大臣となった人物は誰か,平忠盛,平清盛,平重盛,平宗盛,1,歴史,2
1185年に平氏を滅ぼし、後に鎌倉幕府を開いたのは誰か,源義経,源頼朝,源為義,源義家,1,歴史,1
鎌倉幕府が諸国に配置し、軍事・警察を担わせた職は何か,地頭,守護,受領,検非違使,1,歴史,2
北条泰時が1232年に制定した、武士のための最初の法典は何か,公事方御定書,武家諸法度,御成敗式目,建武式目,2,歴史,2
鎌倉時代、栄西が宋から伝え、喫茶の習慣も広めた宗派は何か,浄土宗,臨済宗,曹洞宗,日蓮宗,1,歴史,3
13世紀後半、2度にわたり日本を襲撃したモンゴル帝国の軍勢を何というか,元軍,明軍,清軍,高麗軍,0,歴史,1
足利尊氏が1336年に発表した、室町幕府の政治方針は何か,十七条憲法,御成敗式目,建武式目,禁中並公家諸法度,2,歴史,3
3代将軍足利義満が、京都の北山に建てた金色の建物は何寺にあるか,慈照寺,鹿苑寺,東大寺,法隆寺,1,歴史,2
足利義満が明との貿易に際し、偽船を防ぐために用いた証票は何か,朱印状,勘合,渡海状,割符,1,歴史,2
室町時代、農民が自立・自治のために結成した組織を何というか,惣,座,一揆,仲間,0,歴史,3
1467年に始まり、戦国時代の幕開けとなった大乱は何か,承久の乱,応仁の乱,嘉吉の乱,壬申の乱,1,歴史,1
1543年、種子島に漂着したポルトガル人によって伝えられた武器は何か,弓矢,鉄砲,大砲,長槍,1,歴史,1
1549年に来日し、キリスト教を日本に初めて伝えた宣教師は誰か,フロイス,フランシスコ・ザビエル,ヴァリニャーニ,ヘボン,1,歴史,1
織田信長が、今川義元を破り台頭するきっかけとなった戦いは何か,長篠の戦い,桶狭間の戦い,姉川の戦い,山崎の戦い,1,歴史,2
豊臣秀吉が、農民から武器を没収して農村の安定を計った政策は何か,検地,刀狩,人掃令,廃刀令,1,歴史,2
太閤検地において、土地の生産力を表す単位として採用されたのは何か,貫高,石高,段銭,面積,1,歴史,2
1600年、徳川家康が石田三成らの西軍を破った戦いは何か,関ヶ原の戦い,大坂の陣,島原の乱,戊辰戦争,0,歴史,1
徳川家光が1635年に大名に義務付けた、江戸と領地を往復する制度は何か,参勤交代,一国一城令,廃藩置県,版籍奉還,0,歴史,1
江戸時代、金貨・銀貨・銭貨の交換を専門に行った商人は何と呼ばれるか,蔵元,掛屋,両替商,問屋,2,歴史,3
8代将軍徳川吉宗が行った、幕府財政の再建を目指した改革は何か,寛政の改革,天保の改革,享保の改革,正徳の治,2,歴史,2
田沼意次が、幕府の収入を増やすために積極的に公認した商人の組織は何か,株仲間,座,ギルド,仲間,0,歴史,3
松平定信が1787年から行った、幕政の引き締めを目的とした改革は何か,享保の改革,天保の改革,寛政の改革,慶応の改革,2,歴史,2
1792年に根室に来航し、日本に開国を求めたロシアの使節は誰か,レザノフ,ラクスマン,プチャーチン,ゴローウニン,1,歴史,3
1837年、大坂で飢饉の救済を求めて武装蜂起した元与力は誰か,大塩平八郎,生田万,田中正造,渡辺崋山,0,歴史,2
1853年、アメリカから4隻の黒船を率いて浦賀に来航したのは誰か,ビッドル,ペリー,ハリス,パークス,1,歴史,1
1858年に井伊直弼が勅許を得ずに調印した、アメリカとの通商条約は何か,日米和親条約,日米修好通商条約,神奈川条約,下関条約,1,歴史,2
1867年に15代将軍徳川慶喜が政権を朝廷に返した出来事を何というか,版籍奉還,廃藩置県,大政奉還,王政復古,2,歴史,1
明治政府が1871年に断行した、藩を廃止して府県を置く政策は何か,版籍奉還,廃藩置県,徴兵令,地租改正,1,歴史,2
1877年、西郷隆盛を指導者として鹿児島士族が起こした最大の内乱は何か,佐賀の乱,萩の乱,西南戦争,秋月の乱,2,歴史,2
1889年に発布された、天皇が国民に授ける形式の憲法は何か,日本国憲法,大日本帝国憲法,明治憲法草案,五箇条の誓文,1,歴史,1
1894年、日本と清国の間で朝鮮の支配権をめぐって勃発した戦争は何か,日清戦争,日露戦争,第一次世界大戦,日中戦争,0,歴史,1
1902年に日本がロシアの南下政策に対抗してイギリスと結んだ同盟は何か,日英同盟,日露協約,日米安保条約,三国同盟,0,歴史,2
1904年に始まった、日本とロシアの戦争は何か,日清戦争,日露戦争,第一次世界大戦,日中戦争,1,歴史,1
1911年に制定された、日本初の労働者保護のための法律は何か,労働基準法,工場法,労働組合法,治安維持法,1,歴史,4
1918年に富山県から始まり、全国に拡大した物価高騰への抗議行動は何か,米騒動,土一揆,打ちこわし,ゼネスト,0,歴史,2
1923年9月1日に発生し、首都圏に甚大な被害をもたらした災害は何か,阪神・淡路大震災,関東大震災,東日本大震災,明暦の大火,1,歴史,2
1925年、満25歳以上の全ての男子に選挙権を与えた法律は何か,衆議院議員選挙法,普通選挙法,治安維持法,地方自治法,1,歴史,2
1925年、普通選挙法と同時に制定された、社会主義運動等を取り締まる法律は何か,治安警察法,保安条例,治安維持法,破壊活動防止法,2,歴史,2
1931年に日本軍（関東軍）が柳条湖で線路を爆破して始まった事変は何か,満州事変,上海事変,日中戦争,シベリア出兵,0,歴史,2
1936年、陸軍青年将校らが首相官邸などを襲撃した大規模な事件は何か,五・一五事件,二・二六事件,血盟団事件,三・一五事件,1,歴史,2
1937年、盧溝橋事件を機に始まった、日本と中国の全面戦争は何か,日清戦争,日中戦争,満州事変,太平洋戦争,1,歴史,2
1938年に制定され、人的・物的資源を戦時に統制できるようにした法律は何か,国家総動員法,国民徴用令,治安維持法,大政翼賛会法,0,歴史,3
1941年12月8日、日本軍の真珠湾攻撃によって始まった戦争を何というか,日中戦争,太平洋戦争,第一次世界大戦,朝鮮戦争,1,歴史,1
1945年8月、日本がポツダム宣言を受諾して降伏した際、外相として調印したのは誰か,東条英機,重光葵,マッカーサー,吉田茂,1,歴史,4
戦後、日本を占領した連合国軍の最高司令官は誰か,アイゼンハワー,マッカーサー,リッジウェイ,ニミッツ,1,歴史,2
1946年に公布された、平和主義・主権在民・人権尊重を掲げる憲法は何か,大日本帝国憲法,日本国憲法,明治憲法,新憲法草案,1,歴史,1
1946年から行われた、農地の所有を小作人に移した改革を何というか,地租改正,農地改革,財閥解体,版籍奉還,1,歴史,2
1950年に勃発し、日本に特需をもたらした隣国の戦争は何か,ベトナム戦争,朝鮮戦争,冷戦,湾岸戦争,1,歴史,2
1951年、日本が独立を回復するために連合諸国と結んだ条約は何か,サンフランシスコ平和条約,日米和親条約,日ソ共同宣言,日韓基本条約,0,歴史,2
1955年に自由民主党が結成され、社会党と対決する政治体制を何というか,二大政党制,55年体制,挙国一致体制,連立政権,1,歴史,3
1964年に東京で開催された、日本の戦後復興を象徴する行事は何か,万国博覧会,オリンピック東京大会,アジア競技大会,ワールドカップ,1,歴史,1
1972年、沖縄が日本に復帰した際、非核三原則を掲げていた当時の首相は誰か,池田勇人,佐藤栄作,田中角栄,佐藤春夫,1,歴史,3
1973年、第4次中東戦争を機に日本経済に深刻な影響を与えた出来事は何か,ドル危機,石油危機（オイルショック）,バブル崩壊,リーマンショック,1,歴史,2
1980年代後半、株価や地価が異常に高騰した経済状況を何というか,高度経済成長,バブル経済,デフレ経済,円高不況,1,歴史,2
1995年、神戸を中心に発生した大都市直下型地震を何というか,関東大震災,東日本大震災,阪神・淡路大震災,熊本地震,2,歴史,2
地球上に人類が出現した時期として、現在最も古い説は何万年前か,約700万年前,約200万年前,約20万年前,約1万年前,0,歴史,1
打製石器を用い、狩猟・採集を行っていた時代を考古学では何というか,新石器時代,旧石器時代,青銅器時代,鉄器時代,1,歴史,2
紀元前3000年頃、大河の流域で最古の文明が生まれた場所はどこか,メソポタミア・エジプト,ギリシア・ローマ,イギリス・フランス,アメリカ・中国,0,歴史,2
秦の始皇帝が、北方の遊牧民（匈奴）の侵入を防ぐために修築したものは何か,万里の長城,阿房宮,都江堰,シルクロード,0,歴史,2
中国から西方へ絹が運ばれ、また馬や仏教が中国へ伝わった交易路を何というか,海の道,絹の道（シルクロード）,琥珀の道,スパイスロード,1,歴史,2
モンゴル帝国を築き、ユーラシアに広大な領土を確保した人物は誰か,チンギス・ハン,フビライ・ハン,ティムール,明太祖,0,歴史,2
モンゴル帝国において、公務の旅行者が馬を乗り継ぐために整備された制度は何か,駅伝制,朝貢制,科挙制,授時暦,0,歴史,3
中国で15世紀に作られた、韓国で現在も使われている文字の原型を何というか,甲骨文字,ハングル（訓民正音）,契丹文字,ウイグル文字,1,歴史,3
15世紀から16世紀にかけて、ヨーロッパ人がアジアの富を求めて海外進出した時代は何か,ルネサンス,十字軍,大航海時代,宗教改革,2,歴史,1
1492年、大西洋を渡ってアメリカ大陸の周辺に到達した航海者は誰か,ヴァスコ・ダ・ガマ,コロンブス,マゼラン,カブラル,1,歴史,2
1517年、免罪符の販売を批判して宗教改革を開始した人物は誰か,ルター,カルヴァン,ロヨラ,ヘンリ8世,0,歴史,3
「古代の再生」を意味し、人間精神の解放を目指した文化運動を何というか,ルネサンス,啓蒙主義,ロマン主義,人文主義,0,歴史,2
イギリスにおいて、18世紀後半から始まった産業・経済の劇的な変化を何というか,フランス革命,産業革命,栄誉革命,独立革命,1,歴史,1
1776年、イギリスからの独立を目指して13植民地が発表したものは何か,権利の章典,独立宣言,人権宣言,独立法,1,歴史,2
1789年、フランスで絶対王政に反対する市民がバスティーユ牢獄を襲撃して始まった革命は何か,産業革命,アメリカ革命,フランス革命,二月革命,2,歴史,1
フランス革命の混乱を収拾し、後に皇帝となった軍人は誰か,ルイ14世,ナポレオン,メッテルニヒ,ロベスピエール,1,歴史,2
ウィーン会議後に構築された、ヨーロッパの保守的な国際秩序を何というか,ヴェルサイユ体制,ウィーン体制,ヤルタ体制,冷戦体制,1,歴史,3
19世紀、イギリスが清国から茶を輸入し、代わりにインドのアヘンを輸出して起きた戦争は何か,アロー戦争,アヘン戦争,日清戦争,ボーア戦争,1,歴史,2
アヘン戦争の講和条約として、清国が香港を割譲した条約は何か,北京条約,南京条約,下関条約,ポーツマス条約,1,歴史,3
1914年、サラエボ事件をきっかけに勃発した世界規模の戦争は何か,第一次世界大戦,第二次世界大戦,ナポレオン戦争,クリミア戦争,0,歴史,1
1917年、レーニンの指導によりロシアで起きた革命を何というか,フランス革命,ロシア革命,二月革命,文化大革命,1,歴史,2
第一次世界大戦後、再発防止のために設立された初の国際組織は何か,国際連合,国際連盟,NATO,ワルシャワ条約機構,1,歴史,2
1929年にニューヨークの株価暴落から始まり、世界中に波及した経済危機を何というか,世界恐慌,バブル崩壊,リーマンショック,オイルショック,0,歴史,1
ドイツでヒトラーが率いるナチスが政権を握り、掲げた思想は何か,ファシズム,社会主義,資本主義,自由主義,0,歴史,2
1939年、ドイツのポーランド侵攻により始まった史上最大の戦争は何か,第一次世界大戦,第二次世界大戦,日中戦争,朝鮮戦争,1,歴史,1
第二次世界大戦後、アメリカを中心とする西側とソ連を中心とする東側の対立を何というか,熱戦,冷戦（冷たい戦争）,経済戦争,多極化,1,歴史,2
1945年、戦後秩序の維持を目的としてサンフランシスコ会議で設立された組織は何か,国際連盟,国際連合,欧州連合,ASEAN,1,歴史,1
1949年、毛沢東を主席として成立したアジアの社会主義国家は何か,大韓民国,中華人民共和国,北朝鮮,ベトナム,1,歴史,2
1962年、ソ連がキューバに核ミサイルを持ち込もうとして起きた緊張状態を何というか,ベルリン封鎖,キューバ危機,ベトナム戦争,湾岸戦争,1,歴史,3
1989年、冷戦の象徴であった「壁」が崩壊したドイツの都市はどこか,ミュンヘン,ベルリン,ハンブルク,ボン,1,歴史,2
冷戦終結後、人・モノ・カネ・情報が地球規模で自由に移動する現象を何というか,情報化,グローバル化,産業化,近代化,1,歴史,2
ブラジル、ロシア、インド、中国、南アフリカの頭文字を取った新興経済国の総称は何か,EU,BRICS,ASEAN,G20,1,歴史,3
21世紀、地球規模の環境破壊を食い止めるために議論されている深刻な問題は何か,砂漠化,地球温暖化,森林破壊,全て正解,3,歴史,1
仏教が公式に伝来したのは何世紀のことか,4世紀,5世紀,6世紀,7世紀,2,歴史,2
聖武天皇が平城京に建立した、世界最大の木造建築を持つ寺は何か,法隆寺,東大寺,興福寺,薬師寺,1,歴史,2
藤原道長が絶頂期に詠んだ歌「この世をば…」が記された彼の日記は何か,御堂関白記,権記,小右記,紫式部日記,0,歴史,4
1192年に征夷大将軍に任命され、名実ともに鎌倉幕府を開いたのは誰か,源頼朝,北条時政,足利尊氏,源実朝,0,歴史,2
足利義政が京都の東山に建てた、わび・さびを基調とする建物は何か,金閣,銀閣,平等院,桂離宮,1,歴史,3
江戸時代の外交窓口「四つの口」のうち、朝鮮との窓口はどこか,長崎,対馬,薩摩,松前,1,歴史,3
江戸幕府の最上位の役職で、臨時に置かれたものは何か,老中,若年寄,大老,側用人,2,歴史,4
明治時代の教育制度の基本となり、忠君愛国を説いた文書は何か,学制,教育勅語,小学校令,教育基本法,1,歴史,3
大正時代に吉野作造が提唱した、民衆の意向を重視する思想は何か,民本主義,社会主義,自由主義,国家主義,0,歴史,3
1945年8月6日、世界で初めて原子爆弾が投下された都市はどこか,東京,大阪,広島,長崎,2,歴史,1
1951年、日本が主権を回復した際、同時にアメリカと結んだ軍事条約は何か,サンフランシスコ平和条約,日米安全保障条約,日ソ共同宣言,日米修好通商条約,1,歴史,2
日本の高度経済成長期の三種の神器（家電）でないものはどれか,白黒テレビ,洗濯機,冷蔵庫,パソコン,3,歴史,2
1972年、田中角栄首相が訪中して署名し、中国との国交を正常化させた文書は何か,日中友好条約,日中共同声明,日中平和条約,日中基本条約,1,歴史,3
日本が2000年代以降、世界経済の課題を話し合うために参加している枠組みは何か,G7,G20,BRICS,EU,1,歴史,3
四大文明の一つで、象形文字やピラミッドで知られる文明は何か,メソポタミア文明,エジプト文明,インダス文明,黄河文明,1,歴史,1
ギリシアのポリス（都市国家）のうち、民主政が発達した国はどこか,スパルタ,アテネ,テーベ,コリント,1,歴史,2
「すべての道はローマに通ず」と言われ、地中海を統一した古代国家は何か,ギリシア帝国,ローマ帝国,アレクサンドロス帝国,ペルシア帝国,1,歴史,2
マテオ・リッチが17世紀に中国で作製し、日本にも伝わった世界地図は何か,伊能図,坤輿万国全図,皇輿全覧図,海国図志,1,歴史,5
16世紀、フィリピンに到達したが現地で戦死し、部下が世界周航を成し遂げたのは誰か,コロンブス,マゼラン,ガマ,カブラル,1,歴史,2
絶対王政期のフランスを象徴し、「朕は国家なり」と言ったとされる王は誰か,ルイ14世,ルイ16世,ナポレオン,アンリ4世,0,歴史,3
アメリカ独立戦争時の総司令官で、初代大統領となった人物は誰か,ジェファソン,ワシントン,リンカーン,ルーズベルト,1,歴史,2
産業革命により、それまでの手工業に代わって普及した生産形態は何か,工場制手工業,工場制機械工業,問屋制家内工業,自給自足,1,歴史,2
19世紀、プロイセンを中心にドイツの統一を達成した「鉄血宰相」は誰か,ビスマルク,ウィルヘルム2世,ヒトラー,メッテルニヒ,0,歴史,3
インドで1857年に発生した、イギリスの植民地支配に対する大反乱は何か,セポイの乱（インド大反乱）,太平天国の乱,義和団事件,バクスターの反乱,0,歴史,3
19世紀後半、清国で「西洋の技術を取り入れ、伝統を守る」とした改革運動を何というか,変法自強,洋務運動,太平天国,辛亥革命,1,歴史,4
第一次世界大戦の終結後、ドイツに巨額の賠償金を課した条約は何か,ロンドン条約,ヴェルサイユ条約,ポーツマス条約,パリ条約,1,歴史,2
1930年代のアメリカで、ルーズベルト大統領が不況対策として行った政策は何か,五カ年計画,ニューディール政策,マーシャルプラン,鎖国政策,1,歴史,2
第二次世界大戦中の1945年、米英ソの首脳が戦後の処理について協議した会談は何か,ヤルタ会談,カイロ会談,ポツダム会談,テヘラン会談,0,歴史,3
1960年代、アメリカが介入し、泥沼化した東南アジアの戦争は何か,朝鮮戦争,ベトナム戦争,カンボジア内戦,ラオス戦争,1,歴史,2
1989年、マルタ会談で冷戦の終結を宣言した米ソの指導者は誰か,ブッシュとゴルバチョフ,レーガンとゴルバチョフ,ケネディとフルシチョフ,ニクソンとブレジネフ,0,歴史,4
ヨーロッパの国々が経済的・政治的な統合を目指して1993年に結成した組織は何か,EC,EU,NATO,WTO,1,歴史,2
1991年に解体し、冷戦の終焉を決定づけた超大国はどこか,ドイツ帝国,ソビエト社会主義共和国連邦,オスマン帝国,清国,1,歴史,1
20世紀末以降、世界的なネットワークとして普及し、情報の流れを一変させたものは何か,ラジオ,テレビ,インターネット,新聞,2,歴史,1
縄文時代、地面を掘りくぼめて柱を立てた住居を何というか,高床住居,竪穴住居,石造住居,洞窟住居,1,歴史,2
弥生時代を象徴する、祭祀に用いられたとされる青銅器は何か,銅鐸,青銅鏡,鉄剣,勾玉,0,歴史,2
古墳時代の巨大な前方後円墳として知られる「大仙陵古墳」は、誰の墓と伝えられているか,応神天皇,仁徳天皇,推古天皇,聖武天皇,1,歴史,3
794年に平安京に遷都した天皇は誰か,桓武天皇,嵯峨天皇,清和天皇,宇多天皇,0,歴史,1
平安時代、貴族の間に広まった「この世はもう終わりだ」とする予言的思想は何か,密教,禅宗,末法思想,儒教,2,歴史,3
鎌倉幕府の執権として、実権を握り続けた一族はどこか,足利氏,北条氏,源氏,平氏,1,歴史,2
1274年と1281年に攻めてきた元軍に対し、防戦に努めた執権は誰か,北条泰時,北条時宗,北条高時,北条政子,1,歴史,3
室町時代、日明貿易で明から大量に輸入され、日本の通貨として流通したものは何か,宋銭,明銭（永楽通宝）,金貨,銀貨,1,歴史,3
1560年、織田信長が今川義元を破った戦いは何か,桶狭間の戦い,長篠の戦い,姉川の戦い,山崎の戦い,0,歴史,2
豊臣秀吉が朝鮮に出兵した際、朝鮮の海軍を率いて日本軍を苦しめた名将は誰か,李舜臣,李成桂,世宗,金玉均,0,歴史,4
江戸時代、幕府が大名を統制するために定めた法令を総称して何というか,御成敗式目,武家諸法度,十七条憲法,建武式目,1,歴史,2
江戸時代の身分制度「士農工商」のうち、最も人口が多かったのはどの層か,武士,百姓,職人,商人,1,歴史,2
1854年、ペリーとの間で結ばれ、下田・函館の2港を開港した条約は何か,日米修好通商条約,日米和親条約,神奈川条約,下関条約,1,歴史,2
明治時代、政府が推進した「富国強兵」と並ぶ、産業を育てるスローガンは何か,文明開化,殖産興業,廃藩置県,自由民権,1,歴史,2
1912年に大正天皇が即位し、護憲運動などが盛り上がった風潮を何というか,昭和維新,大正デモクラシー,自由民権運動,文明開化,1,歴史,2
1941年、第二次世界大戦への参戦を前に、近衛文麿内閣に代わって就任した首相は誰か,東条英機,小磯国昭,鈴木貫太郎,吉田茂,0,歴史,3
1947年に施行された、戦後の民主教育の基本となる法律は何か,学制,教育勅語,教育基本法,学校教育法,2,歴史,3
1960年、岸信介内閣が激しい反対運動の中で改定した条約は何か,サンフランシスコ平和条約,日米安全保障条約,日ソ共同宣言,日韓基本条約,1,歴史,3
1990年代初頭に崩壊し、その後の「失われた20年」の原因となった経済現象は何か,オイルショック,バブル経済,デフレ,世界恐慌,1,歴史,2
2011年、東北地方を中心に甚大な被害をもたらした災害は何か,阪神・淡路大震災,東日本大震災,関東大震災,熊本地震,1,歴史,1
4大文明の一つで、ハラッパやモヘンジョ・ダロの遺跡で知られるのは何か,エジプト文明,メソポタミア文明,インダス文明,黄河文明,2,歴史,2
古代ギリシアで、哲学や民主政が栄えた都市国家はどこか,アテネ,スパルタ,テーベ,マケドニア,0,歴史,2
中世ヨーロッパで、聖地エルサレムの奪還を目指して派遣された軍隊を何というか,十字軍,騎士団,傭兵団,無敵艦隊,0,歴史,2
16世紀、インドにムガル帝国を建国した人物は誰か,バーブル,アクバル,アウラングゼーブ,シャー・ジャハーン,0,歴史,4
16世紀、ドイツのルターが批判したのは教会の何という行為か,聖書講読,免罪符（贖罪状）の販売,ミサの挙行,慈善活動,1,歴史,2
アメリカ独立宣言の起草者で、第3代大統領となったのは誰か,ワシントン,ジェファソン,ハミルトン,フランクリン,1,歴史,4
1789年、フランス革命で採択された、自由と平等を説く宣言は何か,権利の宣言,独立宣言,人権宣言,マグナ・カルタ,2,歴史,2
19世紀後半、清国の主権を脅かした、イギリス・フランスとの戦争を何というか,アヘン戦争,アロー戦争（第二次アヘン戦争）,義和団事件,清仏戦争,1,歴史,4
1861年にアメリカで始まり、奴隷制の存廃をめぐって戦われた内戦は何か,南北戦争,独立戦争,第一次世界大戦,米西戦争,0,歴史,2
1917年、アメリカが第一次世界大戦に参戦した理由の一つとされるドイツの作戦は何か,電撃戦,無制限潜水艦作戦,バルバロッサ作戦,シュリーフェン・プラン,1,歴史,4
第一次世界大戦後、アメリカの大統領ウィルソンが提唱した原則は何か,民族自決,門戸開放,善隣外交,孤立主義,0,歴史,3
1930年代、イタリアでムッソリーニが、ドイツでヒトラーが推進した政治体制は何か,社会主義,ファシズム,自由主義,民主主義,1,歴史,2
1944年、連合軍がフランスに上陸し、ドイツ降伏のきっかけとなった作戦は何か,ミッドウェー海戦,ノルマンディー上陸作戦,スターリングラードの戦い,硫黄島の戦い,1,歴史,4
第二次世界大戦後、東側諸国の軍事同盟として結成された組織は何か,NATO,ワルシャワ条約機構,SEATO,CENTO,1,歴史,3
1980年代、ソ連のゴルバチョフが行った「改革」をロシア語で何というか,グラスノスチ,ペレストロイカ,ノモンハン,ソフホーズ,1,歴史,3
20世紀末に南アフリカで廃止された、人種隔離政策を何というか,アパルトヘイト,カースト制度,奴隷制,委任統治,0,歴史,2
2000年代以降、急速に経済発展した中国・インドなどを何と呼ぶか,先進国,新興国（エマージング・マーケット）,発展途上国,後進国,1,歴史,2
18世紀、イギリスで蒸気機関を改良し、動力革命をもたらした人物は誰か,ワット,スティーブンソン,エディソン,フォード,0,歴史,2
フランス革命で処刑された、時の国王は誰か,ルイ14世,ルイ16世,ナポレオン,チャールズ1世,1,歴史,3
第一次世界大戦の原因となった、ヨーロッパの火薬庫と呼ばれた地域はどこか,スカンジナビア半島,バルカン半島,イベリア半島,イタリア半島,1,歴史,2
1920年代、禁酒法が施行されていた国はどこか,イギリス,フランス,アメリカ,ドイツ,2,歴史,3
日本が国際連盟を脱退する原因となった、1932年の調査団は何というか,リットン調査団,スチムソン調査団,ハル調査団,ウェッブ調査団,0,歴史,3
1945年のポツダム会談に参加した、アメリカ・イギリス・ソ連の首脳の組み合わせはどれか,トルーマン・アトリー・スターリン,ルーズベルト・チャーチル・スターリン,アイゼンハワー・イーデン・フルシチョフ,ケネディ・マクミラン・フルシチョフ,0,歴史,5
1960年代、中国で毛沢東が主導した大規模な政治・社会運動を何というか,大躍進政策,文化大革命,四つの近代化,五カ年計画,1,歴史,3
1970年代、アメリカとソ連が緊張を緩和させた政策や状況を何というか,冷戦,デタント,ドミノ理論,制限主権論,1,歴史,4
20世紀後半、環境破壊への警鐘を鳴らしたレイチェル・カーソンの著書は何か,沈黙の春,種の起源,不都合な真実,沈黙,0,歴史,5